source_frame,crop_id,bbox,complex_label,distance,Anger_prob,Happy_prob,Panic_prob,Sadness_prob,Neutral_prob
cinema_audience_watc_nE87S5z9sqM_jpg.rf.ec7889a9f1878f0c749174db908d5268,crop_000,"[167, 99, 204, 159]",경멸,0.2386,0.0756,0.0916,0.2844,0.2362,0.3125
cinema_audience_watc_nLl5sJnElxY_jpg.rf.1d212c06c945d40a14d04d058dd09f57,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_nW1n9eNHOsc_jpg.rf.cf404f454c158782fb610b2020ab7c32,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_oisGO6JZuW0_jpg.rf.a50b1fa2cdd735c0412f28b358d1676f,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_pcGLNRCICnA_jpg.rf.ad8d9a064777fdef2d99f58c9575b80d,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_phbxGSTKc9E_jpg.rf.3bd7355dae9221fd24ea6d938564e047,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_puIT9QssHyU_jpg.rf.cbae230331fa4ad07369e038ed705894,crop_000,"[412, 137, 458, 225]",혼란,0.1846,0.117,0.1177,0.3892,0.1295,0.2466
cinema_audience_watc_puIT9QssHyU_jpg.rf.cbae230331fa4ad07369e038ed705894,crop_001,"[247, 200, 292, 313]",혼란,0.0811,0.1729,0.041,0.507,0.0531,0.226
cinema_audience_watc_puIT9QssHyU_jpg.rf.cbae230331fa4ad07369e038ed705894,crop_003,"[159, 6, 200, 87]",혼란,0.1558,0.0813,0.0934,0.516,0.1136,0.1958
cinema_audience_watc_r33fhgtcoEk_jpg.rf.33d080cd61620f64fbf9c2332e188fb9,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_rQFB0S6vJuQ_jpg.rf.7f9d2fd502fd5d1e9eafafec074cd3b4,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_sSd85nlmy8M_jpg.rf.3fa3e8b986d3c05afc40484926204c18,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_-F2QLmg5Ezw_jpg.rf.e4812d5d5e994719a5e8c53941a6357f,crop_000,"[104, 157, 151, 261]",공포,0.0799,0.1091,0.0112,0.744,0.0132,0.1226
cinema_viewers_-oTwXek_38Q_jpg.rf.c32d8113b4e503e8c519445efef5be65,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_1fmp47PUB-4_jpg.rf.a1f348ba2818089eb94a6bf902ad9960,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_4FAtX3bm0VE_jpg.rf.677dcb31180bdc0f25305681d8d7ea82,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_60P9evTpb0Y_jpg.rf.2b7cd1ce2639730199ad3d01521e3774,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_6D4cBnw5Hcs_jpg.rf.0a77674f9b5870562be2acbf9b804059,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_79aUyJnySGg_jpg.rf.9e0116386c28d0fe98bf997e9bb4fc99,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_H4d1ArOwHeA_jpg.rf.b18ba7590eb1df0d88dd19a87a6ec47e,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_Ht3Wku6-avM_jpg.rf.b4facd7b928f967b3886c134dd804dcc,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_IIm4Upn8VJs_jpg.rf.d476df2a53a07ce19d6dd25ae94af99c,crop_000,"[80, 68, 125, 137]",혼란,0.1321,0.1942,0.0753,0.3452,0.0954,0.29
cinema_viewers_IIm4Upn8VJs_jpg.rf.d476df2a53a07ce19d6dd25ae94af99c,crop_001,"[420, 291, 463, 361]",슬픔,0.1883,0.0018,0.0058,0.0159,0.4873,0.4888
cinema_viewers_IIm4Upn8VJs_jpg.rf.d476df2a53a07ce19d6dd25ae94af99c,crop_002,"[268, 53, 311, 135]",슬픔,0.1939,0.0028,0.0123,0.0184,0.482,0.4844
cinema_viewers_JJrJX9mQ6q0_jpg.rf.6c60741e4ee82f10ba5a9110e1d4e5d9,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_K4-Zjggt4BI_jpg.rf.071ccdc0a833404a1a042a8648ca4883,crop_001,"[117, 238, 161, 331]",혼란,0.2427,0.09,0.1143,0.3037,0.201,0.291
cinema_viewers_KQKm3jW7k5c_jpg.rf.ddfa1f28a82e38681de6e5642b81ba97,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_TEhzCvLHo4Q_jpg.rf.4e2119db68ba3370b4a697e6cc43287a,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_VwyQEpFoEhg_jpg.rf.03e65ddae48ff7ed9d3003e8772b9b3c,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_WBgXgSSYcWw_jpg.rf.139fb45a5391cc7d1da6e9787014d986,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_XjeIoLj6XuY_jpg.rf.e46aa00b14225d9d4ad2858f22e44e91,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_Y6wyVBrp9oo_jpg.rf.8ded8ef423bb62e9d1a1c7e5df4389c1,crop_000,"[315, 178, 353, 253]",공포,0.0726,0.0519,0.0312,0.779,0.043,0.0952
cinema_viewers_fYjyDGtD-0c_jpg.rf.b95b84cdde264ab8e78caac635325ac3,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_fhv_ODu1vO4_jpg.rf.74f97b35391b164d32fd0b0134b44c4b,crop_008,"[452, 419, 488, 477]",기쁨,0.1091,0.059,0.775,0.0622,0.0226,0.0816
cinema_viewers_fhv_ODu1vO4_jpg.rf.74f97b35391b164d32fd0b0134b44c4b,crop_011,"[175, 408, 214, 471]",기쁨,0.1071,0.0214,0.8457,0.0646,0.024,0.0449
cinema_viewers_nBD3KFnUm5M_jpg.rf.d4b9e2034a1f686884d059ca7238f488,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_oFrHsUWrnzY_jpg.rf.fa61c3a997817b272786205158f0ab7c,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_oOMqe02robg_jpg.rf.0d9c0d53d862fb34c6fa22837c7e8aae,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_rQrZDwxQulE_jpg.rf.62e6b19de0b705e89d885216ac223e3b,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_rmnRC67cV4M_jpg.rf.aa6055e9059229abd2b97b9c6186c00a,No_Face,None,None,None,None,None,None,None,None
cinema_viewers_wfz7fdJgXUc_jpg.rf.0e1f1d0827ef62c61fbe776b972ccd42,crop_000,"[122, 150, 173, 242]",혼란,0.0916,0.1644,0.008,0.6465,0.0086,0.1724
cinema_viewers_wfz7fdJgXUc_jpg.rf.0e1f1d0827ef62c61fbe776b972ccd42,crop_004,"[470, 235, 512, 322]",슬픔,0.2596,0.0122,0.0244,0.062,0.4443,0.4573
cinema_viewers_yw0lwidZ_Ig_jpg.rf.047e90ab160435b377e0229513a36ebc,crop_000,"[147, 87, 207, 182]",염려,0.189,0.0274,0.296,0.38,0.1348,0.162109375
cinema_viewers_yw0lwidZ_Ig_jpg.rf.047e90ab160435b377e0229513a36ebc,crop_001,"[303, 114, 364, 219]",기쁨,0.1622,0.0,1.0,0.0,0.0,0.0
cinema_viewers_yw0lwidZ_Ig_jpg.rf.047e90ab160435b377e0229513a36ebc,crop_002,"[233, 68, 300, 190]",기쁨,0.1622,0.0,1.0,0.0,0.0,0.0
cq_5MeXw35U_jpg.rf.6a0d0b1a688f497a69c241526fac99d9,No_Face,None,None,None,None,None,None,None,None
e37eWTAsnW0_jpg.rf.75649a38b37b20e6c71e72454a929cfb,crop_000,"[323, 118, 372, 219]",실망,0.2119,0.031,0.0436,0.1096,0.392,0.424
e37eWTAsnW0_jpg.rf.75649a38b37b20e6c71e72454a929cfb,crop_001,"[207, 94, 257, 192]",경멸,0.1537,0.3508,0.0396,0.1172,0.0708,0.4211
eXVd7gDPO9A_jpg.rf.98248deb0b75c40bf9abf2597267553c,No_Face,None,None,None,None,None,None,None,None
e_RpjNyMgEM_jpg.rf.bb09d041a628c756f60743f05a0bfaab,No_Face,None,None,None,None,None,None,None,None
fT7TgUqIf4Y_jpg.rf.5169df61193ce0af2afb40d15db8fd2d,No_Face,None,None,None,None,None,None,None,None
gg7VozgvWqk_jpg.rf.f933a4249b05166d07279e2e8749635e,crop_000,"[257, 72, 308, 174]",기쁨,0.1622,0.0,1.0,0.0,0.0,0.0
gg7VozgvWqk_jpg.rf.f933a4249b05166d07279e2e8749635e,crop_001,"[323, 93, 372, 199]",기쁨,0.1622,0.0,1.0,0.0,0.0,0.0
gssVHlGhisQ_jpg.rf.48cfe9394c59e95385da99d929acdf5a,No_Face,None,None,None,None,None,None,None,None
h-fSAMdJ0rA_jpg.rf.c8394f1460c6a1fb7b72120c7d6a490d,crop_000,"[216, 83, 269, 187]",혼란,0.1004,0.1718,0.0606,0.4443,0.0756,0.2476
h-fSAMdJ0rA_jpg.rf.c8394f1460c6a1fb7b72120c7d6a490d,crop_001,"[327, 108, 379, 211]",불만,0.3945,0.0529,0.0722,0.1842,0.319,0.3716
hmpOqsDmYjQ_jpg.rf.b69e1410f30b2d70e91ceeab5be17586,crop_000,"[328, 113, 379, 214]",경멸,0.1438,0.4917,0.0029,0.0077,0.0029,0.4949
hmpOqsDmYjQ_jpg.rf.b69e1410f30b2d70e91ceeab5be17586,crop_001,"[205, 103, 254, 189]",경멸,0.1416,0.4917,0.003,0.0094,0.0021,0.494
hzgs56Ze49s_jpg.rf.5cd4e8101b47b104448db54df456d9b5,No_Face,None,None,None,None,None,None,None,None
